"item_id","rating","evidence_mean","intuition_mean","EMI_score","decade_group","n","text","party","bin","starting_year","class"
32,3,4.333333333333333,1.3333333333333333,1.1198078000000002,1,6,"If the geitleman will permit an explanation I think I can meet his objection. I will state to the gentleman and to the House that the purpose of this bill is to restore to the public domain certain lands in the States of Mississippi and Alabama that have been heretofore by executive order reserved for naval purposes. The Secretary of the Navy states in his report that the lands are no longer necessary for naval purposes for the reason that live oak has gone out of use in naval construction. and these lands were reserved because of the liveoak timber they contained. They have stopped using that kind of timber in the Navy. and the Secretary recommends that the lands be restored to the public domain. They will of course then be subject to entry as any other public lands.","Democrat","(-0.877, 1.313]",1895,1
33,0.3,3,2.7,-1.1851321,1,10,"Mr. Speaker. in the discussion of the project advanced by the pending resolution it is evident that we are not occupied -with the benefits that are to accrue to the people of Hawaii. but our concern is how our people are to be affected. I take this to be the sole question at issue with us. I shall make no attempt to convince those who in this or any other matter of public import assume the position that the policy of our Government should seek to benefit any people save our own. Those who argue that we should annex Hawaii because it will result beneficially to the people of the islands will not be heard patiently by me. nor shall I stoop to argue the matter with them. The advantage or disadvantage to them is a question 6f supreme indifference to me. Let them look to their own interests. The","Democrat","(-0.877, 1.313]",1897,1
34,1.2857142857142858,3.2857142857142856,2,0.82143474,1,7,"This section provides. as the gentleman has just readThat in the event the company should not be able to come to an agroement with the owner or owners of any land through which the said road way be located or pass. proceedings for the condemnation for the use of the company of so muchof said land as may be required * * * may be instituted in the usual way in the supreme court of the District of Columbia. under such rules and regulations as said court may prescribe for such purposes. Now. that is the form adopted in all cases in this District. and I.do not see the point of the gentlemans objection to it. Any -party who desired could go into court and have a jury trial.","Democrat","(-0.877, 1.313]",1893,1
35,-0.2,3,3.2,-0.9517075,1,5,"Then. so far as I am concerned. Mr. President. I dismiss the subject. Let the Senator take his reputation to the tombs. if hewants. it is nothing to me. But still I thought I would be permitted to express a sufficient degree of friendship and interest in the Senator to notify him that the amendment he is trying to lay on the table here is the act of 1837. a Democratic measure. signed by Andrew Jackson. I think. and thattherefore he must not think hard of me or ill of me if I am disposed to present a question of that gravity to the consideration of this body. It is true that we are expected to go with a hop. skip. and a jump at the bidding of those who crack the whip over us just now. but that is such a novel proceeding in the Senate of the United","Democrat","(-0.877, 1.313]",1893,0
36,-0.3333333333333333,2.5,2.8333333333333335,1.4298692,1,6,"The disability has to be continuous or an applicant is not entitled to receive a pension on account of a wound received or disease contracted in the service.","Democrat","(1.313, 3.503]",1889,0
37,0.2857142857142857,2.857142857142857,2.5714285714285716,2.260614,1,7,"The language we propose is that they shall -report in writing on all material except paper for the use of the bindery. or otherwise for the Government Printing Office.","Democrat","(1.313, 3.503]",1893,1
38,1.125,3.625,2.5,1.4719412,1,8,"I submit a resolution in regard to reprinting a document. and I ask that it be read and considered.","Democrat","(1.313, 3.503]",1895,1
39,-1.8333333333333333,1.8333333333333333,3.6666666666666665,2.1923152999999997,1,6,"If the reading is completed. I desire to make the point of order that the bill should have its first consideration in Committee of the Whole. It is a very large measure. involving appropriations out of the public Treasury.","Democrat","(1.313, 3.503]",1891,0
40,-1.25,2.125,3.375,1.9570253,1,8,"According to my understanding of what has been the uniform practice. it is optional with the committee what bill on the Calendar they shall call up for consideration.","Democrat","(1.313, 3.503]",1893,0
41,-0.4444444444444444,2.888888888888889,3.3333333333333335,-3.4552697999999995,2,9,"of these conservatives. whom the distinguished gentleman from Nebraska has so properly denominated ""assistant Republicans."" that Democrats are too loud in their applause of the President. They are pathetic in their solicitude for fear Mr. Bryan has been too outspoken in his commendation of the Presidents late message. they are afraid these words of approval will come back to discomfort and annoy us in the coming campaign. Some of these are the same that have time and again been so uneasy for fear Mr. Bryan had expressed his views to such an extent that it would injure him. so afraid that he had been indiscreet. They have been so deeply concerned. so solicitous about his welfare. they have made known to all the world their grave apprehension and deep regret. I trust such things will deceive the American people no longer. Mr. Speaker. I want to say here and to","Democrat","(-4.695, -2.655]",1907,0
42,-0.5714285714285714,2.5714285714285716,3.142857142857143,-1.3988931999999998,2,7,"Why did you not criticise the Senator from Maine yesterday when he spoke about ""the ruthless and pitiless parliamentary tyranny? ""","Democrat","(-4.695, -2.655]",1901,0
43,-1.2857142857142858,2,3.2857142857142856,-0.5909327,2,7,"This is not the Hogg bill. to buy. -lands from the Indians?","Democrat","(-4.695, -2.655]",1907,0
44,-2.375,1.5,3.875,-2.424556,2,8,"neither blandishments on the one hand nor to intimidation on the other. but stood erect. manly. brave. unmoved. But brave as he vas. courageous as he was. neither his courage nor his bravery could overcome the great eneily of mankind. His Work on earth is done. and he is at rest. Peace to his memory. And from heaven of heavens above God speaketh with bateless breathMy angel of perfect love Is the angel men call Death!"" But his name and fame will survive with those other heroes. eloquent and distinguished men who have made Georgias history illustrious. and whose fame does not belong to Georgia or the South alone. bitt to the whole countryto the Republica reunited. indivisible. indestructible Republica Republic that shall never die. We can not lift the veil that shuts from the public view the private grief in the family circle. We will. however. be permitted to","Democrat","(-4.695, -2.655]",1907,0
45,-2.142857142857143,1.8571428571428572,4,-2.5597618,2,7,"clouds. let in the sunshine. and awakened in the soul the echoes of mumuring rills and the songs of the birds. How we miss the master artist of humor. now gone from among us! Major OTEY had a great. neverfailing. everpresent love for the old Confederate soldier. His soul swelled and his pride mounted as he recalled the heroism of the man in gray. His tender heart was melted as he thought of the privations. the sorrows. the sufferings of his companions in arms. He never was happier than in the company of the grizzled veterans of the lost cause. With generous hand heministered to the needy. and with kindly touch and prayerful spirit he strove. oh. so gently. to bind up the wounds of the afflicted. Devotion to a common cause. community of effort. of endurance. and of suffering made all Confederates of kin to himevery one was his","Democrat","(-4.695, -2.655]",1901,0
46,0.7142857142857143,2.7142857142857144,2,-0.7820164000000001,2,7,"Mr. President. at the time this tobacco was taken from Colonel Mosby he was a paroled soldier and under the guaranty of the protection of the United States. It was taken from him and turned over to the Treasury. It seems to me common honesty requires that the Government ought to recognize this claim if it is proved. All the claimant asks is to be heard.","Democrat","(-2.655, -0.623]",1899,1
47,-0.3333333333333333,2.3333333333333335,2.6666666666666665,-1.7117256999999997,2,6,"If I understand the latter part of the Seniators argument. it is based upon distrust of the power and willingness of the States to protect the life and person of the President when he happens to be within their borders.","Democrat","(-2.655, -0.623]",1901,0
48,3.5,4.666666666666667,1.1666666666666667,-0.3997109,2,6,"sale of sugar at home. While it costs 1.8 cents to make a pound of sugar in Germany. it is sold at Hamburg for export at 1.47 centsa pound. onethird of a cent less than the cost of production. In the United States our beetsugar growers are protected not only by the countervailing duty against bountyfed sugars amounting virtually to the amount of the bounty paid. but also by a direct protective duty amounting to about 94 per cent ad valorem. The United States consumed about 2.400.000 tons of sugar during the year 1901. of which amount she imported 1.600.000. Of this Cuba supplied 580.000 tons. the East Indies 300.000 tons. the British West Indies 110.000 tons. South Africa 100.000 tons. Germany 225.000 tons. and the remaining 285.000 tons were imported from various sources. The United States is therefore not a very wide field for European sugar. owing to the","Democrat","(-2.655, -0.623]",1901,1
49,0.25,2.875,2.625,-1.7362475,2,8,"On raw tobacco it will operate in the same way. If the trust sells it. the trust will get the benefit of it. and if the farmer sells it. the farmer will get the benefit of it. and our theory is that the farmer will beat the trust on it.","Democrat","(-2.655, -0.623]",1903,1
50,-1.5,2.3333333333333335,3.8333333333333335,-1.4598229,2,12,"used with reckless disregard of the rights of the people for and in behalf of the trusts. We all know that the President has repeatedly said that there are ""good trusts and bad trusts."" Who should be the judge on such a question? It should not be one man. It should be the law. under the rules and regulations prescribed for eliciting truth. This is a government of law. I have always believed that the least left to the discretion of a public official is the best law for the rights and interests of the people. Why should the Littlefield bill be doomed to a languishing death in place of this Nelson substitute? That is the question that we have got to answer before the people. Tis said that it will surely die. I will refrain. Mr. Speaker. from entering into a discussion of the tariff question. Gentlemen have heard","Democrat","(-2.655, -0.623]",1903,0
51,-1.1666666666666667,2.5,3.6666666666666665,1.0557184,2,6,"years. in my experience in Congress. had hearings. and the whole output of the entire investigation has been with reference to prostituting the Federal Government. with its power and its money. to uphold one enterprise and destroy another. Mr. Speaker. during this time a great many bad things have been developed in the hearings. There is not a solitary case ever developed that is not punishable by local authorities if the local authorities will do their duty. I want to say another thing. there are two or three features in that bill that are not only foolish. but vicious also. There is one section in that bill that would fill this country with morphine and opium fiends. Read that section. It is a provision that any druggist may supply the customers with a concoction containing 2 grains of opium or onequarter of a grain of morphine to each ounce whether","Democrat","(-0.623, 1.409]",1905,0
52,0.6666666666666666,3,2.3333333333333335,0.11563173,2,6,"the life of that Congress. When that Congress delegated authority to legislate to the President that authority expired with the Fiftyeighth Congress by express limitation. and on the closing day of that Congress the House of Representatives extended to the time of the meeting of the Fiftyninth Congress only the power to make use of the appropriations theretofore made for the Isthmian Canal Commission. Then. upon the assemblage of a new Congress. nothing was done. except that the House did recognize. on December 21. 1905. the fact that a de facto government existed down there by allowing the President to call for reports from those who were governing the Canal Zone. We all recognize that there must be some form of government on the Zone or anarchy will prevail. and the President is within his rights and authority in maintaining a government down there. but I insist that under all","Democrat","(-0.623, 1.409]",1907,1
53,1.125,3.375,2.25,0.9814694,2,8,"Introduced a bill (S. 51.28) granting a pension to Levi Buckner. which was read twice by its title. and referred to the Committee on Pensions.","Democrat","(-0.623, 1.409]",1905,1
54,-0.3333333333333333,3,3.3333333333333335,-0.4365773,2,6,"you. To which the Senate replied. December 10. 1790: In confidence that every constitutional preliminary has been observed. we assure you of our disposition to concur in giving the requisite sanction to the admission of Kentucky as a distinct member of the Union. In doing which we shall anticipate the happy effects to express the sentiments of attachment toward the Ulon and its present government. which have been expressed by the patriotic inhabitants of that district. And the House. replying to the President. said: The preparatory steps taken by the State of Virginia. in concert with the district of Kentucky. toward the creation of the latter into a distinct member of the Union exhibit a liberality honorable to the parties. We shall bestow on this important subject the favorable consideration which It merits. and. with the national policy which ought to govern our decision. shall not fail to mingle the","Democrat","(-0.623, 1.409]",1905,0
55,-1.75,1.75,3.5,0.003636429,2,8,"I must decline. An interruption now would simply take up my time.","Democrat","(-0.623, 1.409]",1903,0
56,-1.1111111111111112,2.3333333333333335,3.4444444444444446,2.8213615,2,9,"Now. can the chairnan of the committee give the information to the committee as to when this work will likely be completed?","Democrat","(1.409, 3.442]",1903,0
57,-1.2727272727272727,1.9090909090909092,3.1818181818181817,1.4393195,2,11,"But do we not give them additional duties and additional powers in the joint resolution?","Democrat","(1.409, 3.442]",1905,0
58,1,3.5,2.5,2.2721987,2,6,"The select committee appointed by the Senate under the resolution of March 2. 1905. to examine and report on the navigation of the Tennessee River and other matters. have discharged that duty. and I am directed by the select committee to submit the report. which I ask may be printed.","Democrat","(1.409, 3.442]",1905,1
59,1.8571428571428572,4.142857142857143,2.2857142857142856,1.8747188,2,7,"The chairman stated that there was an adverse report on the joint resolution itself.","Democrat","(1.409, 3.442]",1901,1
60,1.5714285714285714,3.4285714285714284,1.8571428571428572,1.4701226,2,7,"In recent years it has been under the control and management of the Treasury Department and has been used as a Gulf quarantine station. I infer from this provision that the purpose is to make a change and that it is to be used for something connected with the naval service of the United States.","Democrat","(1.409, 3.442]",1901,1
61,-3.5714285714285716,1.1428571428571428,4.714285714285714,-2.2145147,3,7,"Oh. I think we might as well be candid. You can not fool anybody. It does not pay to be disingenuous.","Democrat","(-5.542, -3.197]",1915,0
62,-2.2,1.8,4,-1.2863624,3,5,"The gentleman does notwant to accuse anyone unjustly or make imputations that are unjust against anyone. Will he give us the names?","Democrat","(-5.542, -3.197]",1913,0
63,-2,1.2,3.2,-0.627113,3,5,"It is not Partisan with the .gentleman. but .t: -is ipractical iwith the -gentleman.","Democrat","(-5.542, -3.197]",1913,0
64,-1.5333333333333334,2,3.533333333333333,-1.1936624,3,15,"And the conferees agroe to that after we defeated it so overwhelmingly in this House?","Democrat","(-5.542, -3.197]",1911,0
65,-2.625,1.625,4.25,-0.6961447,3,8,"Does not the gentleman think it rather a preposterous performance to have a courtmartial. with generals and colonels and lieutenantcolonels and their epaulets and swords and all that. sitting on a lot of schoolboys?","Democrat","(-5.542, -3.197]",1909,0
66,-1.5,2.1666666666666665,3.6666666666666665,-2.1194015,3,12,"Mr. Chairman. jugt to get straight this matter of the manufacturers indorsement of this bill. I want to say that I never heard of any manufacturer in the woolen interest protesting against it. and I have no doubt in the world that typical standpatters like my friend PAYNE and my friend FORaDNEY and my friend MOORE would never have voted for it if they had ever had any protest against it from the manufacturers.","Democrat","(-3.197, -0.861]",1913,0
67,-2.2857142857142856,1.5714285714285714,3.857142857142857,-1.2209066000000002,3,7,"I sincerely hope that I will recei.ve the pardon- that I sincerely- crave. But about the: mathematical proposition. It. has been. charged-","Democrat","(-3.197, -0.861]",1909,0
68,0.125,2.875,2.75,-1.7110608,3,8,"I beg the Senators pardon. just this one: The Senator states that he hopes to see the Monroe doctrine abrogated. or its place taken-","Democrat","(-3.197, -0.861]",1917,1
69,-1.8333333333333333,1.8333333333333333,3.6666666666666665,-1.2672143,3,6,"One moment. The President himself has declared that the woolen schedule is not defensible. He has declared repeatedly that Canadian reciprocity is a triumph of diplomacy and of statesmanship. He has deemed it of such magnitude and of such importance that he has not only traversed the country campaigning in its behalf. but he convened the Congress of the United States in extraordinary session to pass it. and yet with a woolen bill that meets his criticism against the existing woolen schedule. with a reciprocity bill that he proclaims as his very own. there would be nothing left but the small. insignificant free list to justify the interposition of a veto. I do not believe he would veto all of them. and yet as certain as we send in this reciprocity bill alone and afterwards send him the other bills. just so certain. in my opinion. the other two will incur the presidential veto. Now. I yield to the Senator from Washington.","Democrat","(-3.197, -0.861]",1911,0
70,-1.1111111111111112,1.8888888888888888,3,-0.53959775,3,9,"I have no objection to that amendment. since It is going to the Senate. I think it is a proper one.","Democrat","(-3.197, -0.861]",1911,0
71,-1.6923076923076923,1.7692307692307692,3.4615384615384617,-0.62978214,3,13,"I will say in answer to that that we had better try and get along for a little while without the assistance of the railroads and their Wall Street allies. and if we find. then. that we can not get along without them. it will b3 time to change that policy.","Democrat","(-0.861, 1.475]",1911,0
72,0.625,2.75,2.125,0.48272824,3,8,"Chapter 7 itself is a committee amendment. and the Senator from Georgia has offered an amendment to the committee amendment in the nature of a substitute. Chapter VII is not in time original bill. so the committee offers it as an amendment.","Democrat","(-0.861, 1.475]",1917,1
73,-2.3,1.4,3.7,1.052135,3,10,"That may be proper. but I do not happen to have the information. because I did not anticipate the question. but I will get it for the gentleman tomorrow if he desires.","Democrat","(-0.861, 1.475]",1915,0
74,-1.125,2.125,3.25,0.9755707,3,8,"This simply changes the present law so as to reduce the grade to first lieutenant and captain.","Democrat","(-0.861, 1.475]",1917,0
75,-2.4285714285714284,2.142857142857143,4.571428571428571,-1.6167897,3,7,"the Senator from North Carolina into the active support of this measure. but It would hardly be n Just to those of us who have been working upon it so long and e so earnestly to be put in any sense in 2ae attitude of being e forced by him into a compromise or being forced by anyone to give more. when we ourselves all the time have desired all that n Congress thought proper to give. t Furthermore. we not only believe that this measure is most important. beginning at once. bnt that it will permanently be of n great value. We think that permanently the full amount of e $4.800.000 a year would in no sense be too much. We see a vast e permanent work for these trained leaders in agriculture to do throughout the country when we will have one in every county. JAYu.RY 29. not","Democrat","(-0.861, 1.475]",1913,0
76,0.6,2.8,2.2,1.2001612,3,10,"the conference report should be adopted. We are in the last stages of the session. and if we send this report back. the House conferees will have something to say. they are not going to yield upon everything. and. with the firm determination that -they may have. we may have no deficiency bill at all enacted into law.","Democrat","(1.475, 3.811]",1915,1
77,-0.6666666666666666,2.6666666666666665,3.3333333333333335,1.9983921,3,6,"Yes. he was was to report at the next regular session.","Democrat","(1.475, 3.811]",1913,0
78,0.8666666666666667,3.533333333333333,2.6666666666666665,1.6677039,3,15,"Mr. President. I ask leave to modify the order made for the printing of additional copies of the revenue bill so as to provide for the printing of as many copies within the $500 limitation as Is prescribed by Law.","Democrat","(1.475, 3.811]",1917,1
79,0.6,3,2.4,2.2529383,3,5,"That was brought out in the hearings. They said that the supervision over the manufacture of serum is a question that will require experience and perhaps a greater degree of thoroughness than they have given it in the past. but the department recognizes that condition and proposes to meet It.","Democrat","(1.475, 3.811]",1915,1
80,-0.8888888888888888,2.2222222222222223,3.111111111111111,0.5146373,3,9,"They said it was all they could use and all they required.","Democrat","(1.475, 3.811]",1911,0
81,0.4444444444444444,2.888888888888889,2.4444444444444446,-2.266011,4,9,"We have caucused on It and we are In favor of It.","Democrat","(-5.43, -3.095]",1923,1
82,-3.6666666666666665,1.1666666666666667,4.833333333333333,-2.4927685,4,6,"their proud necks in folly. bigotry. or fear to a despised yoke that not a king could place upon our gallant fathers? Oh. the prayer of John Adams was not answered. No Rubens. no Van Dyke has preserved that trial and that scene upon any canvas. but. thank God. it lives. Otis lives. I can hear now his ringing voice. I can see the eager throng. I can see the smirking face of a prostituted judge. I can see the cowardly. treacherous. goldloving glee of hireling counsel doing the will of their royal master for their masters gold. They are all preserved. like flies caught in amber. in the eloquence of Otis. There they are and there they shall abide. for the abhorrence of the lovers of their country. for the emulation of their kind. Wearing a vile mask. a Gorgon would disown. A cheek of parchment and an eye","Democrat","(-5.43, -3.095]",1921,0
